Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang
No water supply in the village since 6 days.,Water,Negative,High,Katphal,2024-11-06,413111,en
Medicines are not available at PHC.,Health,Negative,Medium,Someshwar,2024-08-31,412306,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Morgaon,2025-06-27,413304,mr
No doctor available at primary health center.,Health,Negative,Medium,Nimbut,2025-08-28,413110,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2025-02-26,413304,mr
Village health worker is absent since 6 days.,Health,Negative,Medium,Baramati,2025-08-17,413102,en
No doctor available at primary health center.,Health,Negative,Medium,Nimbut,2024-10-05,413110,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-12-14,412306,mr
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2024-07-03,413111,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2024-12-06,412306,mr
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Katphal,2024-10-02,413111,mr
Drinking water tank is empty.,Water,Negative,High,Katphal,2024-05-13,413111,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2025-03-28,413111,en
Drinking water tank is empty.,Water,Negative,High,Morgaon,2025-01-17,413304,en
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2025-07-02,413115,en
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-07-14,413102,en
Frequent power cuts in the evening.,Electricity,Negative,High,Nimbut,2024-07-22,413110,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2025-03-06,413102,en
Drinking water tank is empty.,Water,Negative,High,Someshwar,2025-04-26,412306,en
Village health worker is absent since 7 days.,Health,Negative,Medium,Pandare,2024-12-27,413103,en
पाण्याचा टँकर आला नाही 7 दिवसांपासून.,Water,Negative,High,Malegaon,2024-01-21,413115,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Malegaon,2024-01-24,413115,mr
Drinking water tank is empty.,Water,Negative,High,Pandare,2025-08-12,413103,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Pandare,2025-03-29,413103,mr
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Morgaon,2024-10-15,413304,en
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Baramati,2024-04-28,413102,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2024-12-23,413102,mr
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Nimbut,2024-06-05,413110,mr
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-06-11,412306,en
Village health worker is absent since 3 days.,Health,Negative,High,Katphal,2025-09-05,413111,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2025-07-22,413110,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Baramati,2024-09-17,413102,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2024-02-15,413304,en
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Katphal,2024-05-16,413111,mr
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Pandare,2025-03-12,413103,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Nimbut,2024-10-28,413110,mr
Playground is not maintained properly.,Others,Negative,Low,Someshwar,2025-07-17,412306,en
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2025-04-23,412306,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2024-09-15,413304,mr
No electricity for 7 hours continuously.,Electricity,Negative,High,Katphal,2024-02-11,413111,en
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2024-10-16,413111,en
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Nimbut,2024-03-07,413110,mr
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-08-10,413111,en
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-04-10,413103,en
Frequent power cuts in the evening.,Electricity,Negative,High,Someshwar,2024-02-07,412306,en
No doctor available at primary health center.,Health,Negative,High,Malegaon,2025-05-30,413115,en
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-02-04,413115,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Someshwar,2024-10-08,412306,mr
No electricity for 2 hours continuously.,Electricity,Negative,High,Baramati,2025-05-22,413102,en
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Baramati,2025-02-28,413102,mr
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Nimbut,2024-05-10,413110,mr
Road construction is pending for months.,Road,Negative,Low,Katphal,2025-01-31,413111,en
Village road is damaged due to rain.,Road,Negative,Low,Supa,2024-10-16,413109,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Malegaon,2025-04-29,413115,en
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2024-07-29,412306,mr
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2025-08-30,413111,en
Electric transformer is not working in Jejuri.,Electricity,Negative,High,Baramati,2025-01-11,413102,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Morgaon,2025-07-05,413304,mr
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2025-01-29,412306,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2025-05-10,413102,mr
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-05-16,413110,mr
No electricity for 7 hours continuously.,Electricity,Negative,High,Nimbut,2024-04-22,413110,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-09-07,413304,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Someshwar,2024-05-12,412306,en
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2024-10-15,413102,mr
Playground is not maintained properly.,Others,Negative,Low,Pandare,2025-08-23,413103,en
No doctor available at primary health center.,Health,Negative,High,Malegaon,2024-07-05,413115,en
Electric transformer is not working in Loni.,Electricity,Negative,High,Someshwar,2025-05-20,412306,en
No doctor available at primary health center.,Health,Negative,High,Morgaon,2025-06-29,413304,en
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Pandare,2025-05-16,413103,en
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2025-06-21,413102,mr
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2025-01-18,413111,en
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Malegaon,2024-02-12,413115,mr
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Malegaon,2025-06-15,413115,mr
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2025-05-05,413109,mr
No electricity for 6 hours continuously.,Electricity,Negative,High,Katphal,2024-07-14,413111,en
No water supply in the village since 3 days.,Water,Negative,High,Katphal,2025-02-24,413111,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Katphal,2025-02-21,413111,mr
Medicines are not available at PHC.,Health,Negative,Medium,Nimbut,2024-08-30,413110,en
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Someshwar,2025-08-25,412306,mr
No doctor available at primary health center.,Health,Negative,High,Pandare,2024-08-03,413103,en
Playground is not maintained properly.,Others,Negative,Low,Morgaon,2025-06-21,413304,en
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Nimbut,2024-08-24,413110,mr
Electric transformer is not working in Indapur.,Electricity,Negative,High,Katphal,2024-09-12,413111,en
No electricity for 6 hours continuously.,Electricity,Negative,High,Katphal,2024-05-29,413111,en
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Negative,Low,Morgaon,2025-06-06,413304,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2025-05-31,413111,en
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-12-17,413111,en
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2024-10-04,413103,en
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-06-27,413115,mr
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Katphal,2024-12-02,413111,mr
No water supply in the village since 1 days.,Water,Negative,High,Someshwar,2025-05-25,412306,en
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2025-01-30,413102,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Supa,2024-11-29,413109,en
गावात आरोग्य शिबीराची गरज आहे.,Health,Negative,Medium,Nimbut,2024-09-14,413110,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Baramati,2024-10-08,413102,mr
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Pandare,2024-11-07,413103,mr
Village road is damaged due to rain.,Road,Negative,Low,Morgaon,2025-06-07,413304,en
No doctor available at primary health center.,Health,Negative,Medium,Malegaon,2025-07-18,413115,en
Playground is not maintained properly.,Others,Negative,Low,Katphal,2025-08-26,413111,en
The road from Jejuri to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2025-03-30,413304,en
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Nimbut,2024-04-08,413110,en
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Katphal,2024-04-11,413111,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Morgaon,2024-03-03,413304,mr
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2025-03-26,413102,mr
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2024-03-11,412306,en
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Katphal,2025-01-16,413111,en
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2025-07-18,412306,en
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-06-16,413304,en
Electric transformer is not working in Malegaon.,Electricity,Negative,High,Katphal,2024-01-23,413111,en
Garbage is not collected regularly in Baramati.,Sanitation,Negative,Medium,Someshwar,2025-01-28,412306,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2024-10-09,413304,en
The road from Loni to nearby town is full of potholes.,Road,Negative,Low,Katphal,2024-11-16,413111,en
Road construction is pending for months.,Road,Negative,Low,Nimbut,2025-09-11,413110,en
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-10-12,413109,en
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2025-07-30,413103,en
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Katphal,2024-04-04,413111,en
Playground is not maintained properly.,Others,Negative,Low,Baramati,2025-04-05,413102,en
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2025-01-20,413109,mr
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2024-12-19,413304,en
Medicines are not available at PHC.,Health,Negative,High,Morgaon,2025-02-11,413304,en
Frequent power cuts in the evening.,Electricity,Negative,High,Morgaon,2025-07-04,413304,en
